,Data,User,Pesan,Jam,Tanggal
36,37,Fajar OktavariaCharles PropAho Lie,"Membalas : Contoh yang barusan kejadian adalah BBTN. Dirut ditarik org luar. Investor ngerasa kebijakan bbtn ini uda bagus, tapi berhub org
Klo nurut saya begitu bilg untung nsik 600%lrbh tp deviden gak bagi  
Membalas : Ya kalo bisa dan profit gak masalah pak. Cuma saya bingung gimana analisanya di forex? Ada insight gak?
Kalau forex lebih ke spekulasi pak.
Membalas : Pas entry itu, kenapa bapak memutuskan entry sblm ada sinyal candle pembalik harga. Emang itu di demand area, tp kan blm ada kon
Selain di demand area saat itu saya berpikir ingin membentuk base untuk handle (cnh), namun indeks berkata tidak saat itu  ",6:24:39 PM,Saturday March 27 2021
37,38,Avianto,"Day trading is not investing. Day trading is gambling. ... “Money is made in investments by investing and by owning good companies for long periods of time,” Buffett told CNBC in March 2016. “If they buy good companies, buy them over time, they're going to do fine 10, 20, 30 years from now.”

Any comment ???",6:24:25 PM,Saturday March 27 2021
38,39,panjianomBu Nana,"Kayaknya wskt tunggu akhir april
Membalas : Investor nga harus 1 tahun keatas. Dibwh 1 tahun pun bisa. Bedanya trader sama investor ya simple aja sih. Trader cm cari selisi
Ya kalo bisa dan profit gak masalah pak. Cuma saya bingung gimana analisanya di forex? Ada insight gak?
",6:19:14 PM,Saturday March 27 2021
39,40,BillyAviantoBu NanaFerry SetiawanDessy FangBilly Zhaky,"Membalas : Kalo dia bilang TA itu bullshit suruh dia trading di XAUUSD all in
Ya makanya dia cuma bisa trading di ihsg aja  
#justinfo saja
Ini adalah foto
Udah biarin aja, gak perlu bahas orang lain, nggak akan mengubah porto kita kok    
Ya ampoon banyak kloningan nya
Membalas : Photo
Padahal di RTI , sdh terlihat kalo setiap Q di 2020, rugi terus. Tapi kenapa tetap aja ada trader yg beli..bahkan sampai puluhan juta yah, hu ? 

Apakah kalo trader, cukup lihat TA aja yah, gak perlu lihat FA ?
Volume makin tipis = supply dimarket mulai berkurang mungkin bisa mantul atau bikin base kuat di Fibo 0.50 yg sekaligus MA200, setelah itu akan sideways sampai demand nya datang lg
Ini adalah foto",6:12:58 PM,Saturday March 27 2021
40,41,Denny Wang,"Pak @JuthaBram 

Berarti.  Ini ihsg sdh swing low ya?

Nda turun ke 5800 atau 6000 lg?


Senin pasti org2 pada haka kyk nya..

Apa kita sdh. Mulai masuk fase Party sampe juni?",6:12:21 PM,Saturday March 27 2021
41,42,Ferry SetiawanCharles Prop,"Contoh yang barusan kejadian adalah BBTN. Dirut ditarik org luar. Investor ngerasa kebijakan bbtn ini uda bagus, tapi berhub org luar masuk maka bakal ada rubah kebijakan lagi dan belum tentu sinergis. Makanya itu saham lsng drop sampe lumayan dalam
Membalas : Nah ini sangat setuju hu Ferry ... Saya sih lebih serem nanti kl ARnya dibuat simetris lagi, ga bisa nyantai2 lagi ah ARB cuma
Seleksi alam ini sis",6:07:04 PM,Saturday March 27 2021
42,43,Charles ProppanjianomCharles Prop,"Membalas : Sayang saya baru terjun trading 2 thn terakhir. Btw krn ini group trader maka saya tentu pilih trader
Ga ada yg salah pak trading/investing. Yg penting cuan. Cuma survey dari temen2 yg ud lama trading, trading jangka pendek itu akan lebih sulit bertahan lama ketimbang invest. Jadi saya sih porto untuk trading hanya 10-20% dari porto invest. 

Kita ga akan pernah tau kapan maret 2020 terulang lg
Membalas : Iya pak mksdnya saya jangka panjng paling lama mungkin setahun, kalo lebih lama lagi udah ganti nama jadi investor
Oalah ganti nama aja tho   
Membalas : Ga ada yg salah pak trading/investing. Yg penting cuan. Cuma survey dari temen2 yg ud lama trading, trading jangka pendek itu ak
Ya pilihan masing2, saya pilih trader aja. Sekali belajar bisa utk dua.
Investor nga harus 1 tahun keatas. Dibwh 1 tahun pun bisa. Bedanya trader sama investor ya simple aja sih. Trader cm cari selisih harga, investor cari harga, deviden, perkembangan perusahaan dll. Kalau investor tiap rups pasti dateng karena dia berasa pemilik perusahaan. Kalau dijual dibwh setahun bukan investor donk?
Nga juga, bisa jadi investor tapi pas datang rups, kebijakan perusahaan diganti bikin investor ga nyaman. Itu saatnya dia keluar
",6:01:41 PM,Saturday March 27 2021
43,44,panjianomKaanz✓panjianomJutha BramKaanz✓panjianom,"Membalas : Ya ga masalah mau jadi trader/investor yang penting hasil akhir saja pak. Terbukti LKH bertahan puluhan tahun dengan aset dari 1
Sayang saya baru terjun trading 2 thn terakhir. Btw krn ini group trader maka saya tentu pilih trader  
Membalas : Saya setuju dan kemungkinan bakal makin banyak trader yang akan kena seleksi alam nantinya kalau tidak mau belajar dan beradapta
Ci Rui maksdnya ARB simetris apa ya? Noted tadi bahas tapi tidak mengerti mksdnya?🤔
Membalas : saat itu pertama kali entry (22 jan) saya berpikir itu adalah posisi demand dan berharap besar untuk rebound, namun saat entry t
Pas entry itu, kenapa bapak memutuskan entry sblm ada sinyal candle pembalik harga. Emang itu di demand area, tp kan blm ada konfirmasi pembalik pak...
Membalas : Betul pak panjianom, karna sudah berbeda sudut pandang dan tujuan investasi nya, kalo trader lebih iangka pendek, sehingga mengg
Trader bisa jangka panjang juga pak. Tinggal ganti timeframenya
Membalas : Trader bisa jangka panjang juga pak. Tinggal ganti timeframenya
Iya pak mksdnya saya jangka panjng paling lama mungkin setahun , kalo lebih lama lagi udah ganti nama jadi investor 
Membalas : Saya setuju dan kemungkinan bakal makin banyak trader yang akan kena seleksi alam nantinya kalau tidak mau belajar dan beradapta
Iya bu. Dari 100% hanya 10-20% yg bertahan",5:59:06 PM,Saturday March 27 2021
44,45,Tommy HermesBagus GiantRBTAN59panjianomRui :rocket:🛩:speedboat::dancer:🏽panjianomRBTAN59Rui :rocket:🛩:speedboat::dancer:🏽,"Membalas : spt gak bilang bulshit... tp dia bilang buat dia gak guna.. kalo buat org msh pake silahakan gak ada yg larang krn dia prinsip n
Pandangan dia ga salah, tapi di dunia saham menurut saya ya harus jago adaptasi dan open minded buat survive, kalau terlalu kepatok sama satu hal bakalan repot sendiri nanti  🏽
Membalas : Pandangan dia ga salah, tapi di dunia saham menurut saya ya harus jago adaptasi dan open minded buat survive, kalau terlalu kepa
betul msg 2 punya cara sendiri dimana msg2 jg menemukan pengalamanya sendiri tp mang jelas harga saham nisa  bergerak / di gerakan oleh benda hidup tidak bisa bergerak oleh benda mati  
Pada akhirnya dia kepatil omongannya sendiri gak bisa pake bandarmologinya lagi di bulan juli  
Membalas : betul msg 2 punya cara sendiri dimana msg2 jg menemukan pengalamanya sendiri tp mang jelas harga saham nisa bergerak / di gerak
Saya tidak mengerti maksudnya benda hidup dan benda mati dalam analogi ini... Kita kan sedang membicarakan bandarmology dan TA... Jadi maksudnya bandarmology itu benda hidup dan TA benda mati begitu? 🤔
Btw bandarmologi hanyalah istilah marketing. Sejatinya itu adalah wyckoff theory.
maksud saya benda hidup nya yah bandar yg masukin modal ke suatu saham
tanpa ada yg masukin /keluarin modal dr sauatu saham yah gak akan bergerak. maaf kalo saya salah pemahaman nya  
Membalas : Pada akhirnya dia kepatil omongannya sendiri gak bisa pake bandarmologinya lagi di bulan juli
Kan masih bisa dilihat setelah market tutup pak. Lagian menurut sy dg pengalamannya mungkin bisa mengetahui tipe2 saham mana yg digerakkan oleh bandar tipe apa dll. Mungkin buat nubie spt saya baru susah broksum dihilangkan saat live trade.
 
Membalas : Photo
Waduh otw 500?
",5:28:39 PM,Saturday March 27 2021
45,46,Andi FXRatih EstianiFajar OktavariaBhagasFakhri ArsyanTaufiqBhagasDomestik sell.. panic sell Penyebab runtuhnya ihsg.BhagasBapakne Naila,"Membalas : Wskt hbs naik terus turun tambah dalem. Saya kemarin cl 17 jt. Nyangkut d 1900. Pembelajaran saya sih ngk disiplin cl sama kelir
Tau akum dari mana om? Kode broker? Lupakan, biar gankaget kalo kode broker hilang   
ijin share view ya pak, sambil saya belajar juga, selama bertahan di atas 1320, kemungkinan akan sideways, dari 4 h chart belum ada tanda2 buyer masuk, belum ada rejection juga,apabila break/engulf, maka akan berhenti di terminal selanjutnya (dibawah),sepenglihatan saya jg angka tsb key level di area weekly
Ini adalah foto
Membalas : Photo
1920?
Membalas : 1920?
maaf typo pak 1320
Membalas : Photo
Skrng sebenernya dah d demand area ya. Tp kl longsor ya bahaya jg.
#JPFA,  potensi bikin HnS
Ini adalah foto
sebenernya iya pak menurut saya,tapi demand area sudah ditest beberapa kali,harga juga membentuk LH dan LL
Membalas : Skrng sebenernya dah d demand area ya. Tp kl longsor ya bahaya jg.
Iya sudah di area demandnya namun saya belum liat ada reason untuk naiknya lagi
Membalas : Betul pak benhan saya juga mikir sayang modal segini aja naik turun, kalo di hitung dari jurnal trading masih tergolong impas sa
Ini jg percakapan saya dg diri sendiri saya setiap hari mas..hahahah
Membalas : Tau akum dari mana om? Kode broker? Lupakan, biar gankaget kalo kode broker hilang
Kalo gk dari kode broker dari mana om? 
Utk bandarmologi kita retail plankton y bisanya cuma liat itu, daripada gk ada sama sekali
Namanya aja usaha  
",3:33:28 PM,Saturday March 27 2021
46,47,Taufiq,Wskt hbs naik terus turun tambah dalem. Saya kemarin cl 17 jt. Nyangkut d 1900. Pembelajaran saya sih ngk disiplin cl sama keliru bergurunya. Tiap turun avg down malah longsor.. Tp hbs pindah dpt 2 jt an. Entar kl lihat bandar2 besar mulai accum baru beli lagi. Kl dr grafik kayaknya masih turun lagi. Berita swf dr kemarin ngk ngefek kayaknya.,3:31:31 PM,Saturday March 27 2021
47,48,Domestik sell.. panic sell Penyebab runtuhnya ihsg.Alzur ZanniDomestik sell.. panic sell Penyebab runtuhnya ihsg.,"Ad yg bs analisakan wskt
Ini adalah foto
Ngg reverse aja pak, biarkan dia turun sampai waktunya rebound
Nyangkut",3:21:59 PM,Saturday March 27 2021
48,49,Muhammad Chaidar AliBhagasVesilia Vebiola VesiBillyRui :rocket:🛩:speedboat::dancer:🏽BillyMuhammad Chaidar AliBu NanaMuhammad Chaidar AliBilly,"Membalas : Trading swing jangka panjang mungkin maksudnya Koh...
Saya lebih suka nyebut nya trend following aja cuma ya emang bulanan makanya saya sertakan ""how to hold stock""

Membalas : Trading swing jangka panjang mungkin maksudnya Koh...
Ya bu Rui
Membalas : image_2021-03-27_14-45-18.png
ini ya hu Billy ?
Membalas :  
Nama km keren ya.. Ve nya ada 3...



*** contoh bikin build up ringan
Membalas : Nama km keren ya.. Ve nya ada 3... *** contoh bikin build up ringan
Ini contoh staggering entry ya?  🤪
Membalas : ini ya hu Billy ?
Iya pak.. 3 minggu bisa manage diatas MA weekly nya abis itu terbang
Membalas : Nama km keren ya.. Ve nya ada 3... *** contoh bikin build up ringan
Billy ... Takut ah sm ko Billy... Kabuurrr aja dari km...  
Membalas : Photo
mantab pak guru ✍
Membalas : Iya pak.. 3 minggu bisa manage diatas MA weekly nya abis itu terbang
aaa I see.. thankyou hu
",2:45:04 PM,Saturday March 27 2021
49,50,Dessy FangRui :rocket:🛩:speedboat::dancer:🏽Vesilia Vebiola VesiFajar OktavariaBillyRui :rocket:🛩:speedboat::dancer:🏽Eko BawonoDianBilly,"Membalas : bukan pada trading aja, beberapa dari kita juga ingin ARA hubungannya
Cewek kalau di haka langsung full margin juga ga suka hu.. Santai aja.. Udh break MA10 uptrend blm.. Klo belum ya jadiin WL dlu...
Masa baru kenalan udh ngajak nikah, baru kenalan udh gandeng2.. Ilfeel lah cewek.. Build up dlu base nya 🤣🤣🤣
Membalas : Cewek kalau di haka langsung full margin juga ga suka hu.. Santai aja.. Udh break MA10 uptrend blm.. Klo belum ya jadiin WL dlu.
ini bagus juga buat content podcast, Hu Billy   
Membalas : Ah I see, karena membentuk doji long bottom wick jdnya entry waktu candle berikutnya bullish melewati harga tertinggi candle mer
Yup
Membalas : Cewek kalau di haka langsung full margin juga ga suka hu.. Santai aja.. Udh break MA10 uptrend blm.. Klo belum ya jadiin WL dlu.
:book:✍🏽✍🏽✍🏽... Eh.... Ini tips gaet cewe apa entry saham ya? 🤪 
Membalas : Ini berarti buat swing long ya pak
Swing low gmn mksdnya bu
:memo::memo: Wajib masuk saved messages, jadi kan aku muridmu hu   
Membalas : Cewek kalau di haka langsung full margin juga ga suka hu.. Santai aja.. Udh break MA10 uptrend blm.. Klo belum ya jadiin WL dlu.
 
Membalas : Swing low gmn mksdnya bu
Trading swing jangka panjang mungkin maksudnya Koh...
Membalas : Cewek kalau di haka langsung full margin juga ga suka hu.. Santai aja.. Udh break MA10 uptrend blm.. Klo belum ya jadiin WL dlu.
🤣 🤣 
",2:41:41 PM,Saturday March 27 2021
50,51,Rui :rocket:🛩:speedboat::dancer:🏽Chak Roy,"Membalas : Photo
Kode aces pak hehehe
Membalas : Grs ungu sinyal buy dr candle
Ah I see, karena membentuk doji long bottom wick jdnya entry waktu candle berikutnya bullish melewati harga tertinggi candle merah sebelum doji ya.... Noted dan terimakasih sekali lagi  🏽 🏽",2:40:29 PM,Saturday March 27 2021
51,52,heryVesilia Vebiola VesiEko BawonoBu NanaFajar OktavariaHardi DheryVesilia Vebiola VesiRui :rocket:🛩:speedboat::dancer:🏽BillyFajar OktavariaSatimin Sejati,"Ada yang menarik dari obrolan semalam (live chat telegram). Dan saya cocok. Yaitu dg cara belajar yang disampaikan pak @hmasori .

Ini perjalanan saya dari tahun lalu. Saya belajar pada satu guru sampai habis (kalau youtube, ya semua video saya tonton). 

Contoh. Misalnya saya belajar fundamental. Saya akan habiskan seluruh video2 dari orang2 yang saya anggap ahli FA. Bagaimana menghitung harga wajar dari berbagai metode, mengamati katalis dan translate terhadap harga. Belajar menghubungkan data yang sifatnya korelasi dan kausalitas.

Setelah merasa cukup saya belajar TA, BDM, Time cycle.

Dan sampai sekarang masih terus berproses dalam belajar hal2 di atas.
Membalas : Photo
Kangen liat yang jaga boothnya atau kangen menunya pakde  
Membalas : Nah kalo ini rahasianya apa koh billy  
Klo ini naturally 🤣
Membalas : Photo
Taiwan plum ice tea pak, seger dan ga perlu gula  🏼
Membalas : hubill dah taken loh  
Gpp pak @luckv02 .... Banyak jalan menuju Roma 🤣🤣🤣
Membalas : Gpp pak @luckv02 .... Banyak jalan menuju Roma 🤣🤣🤣
ini penganut selama bendera kuning belum berkibar nih 🤦
Membalas : Saya aja itu baru menyempurnakan nya skrg2 kok ga sempet dlu masih trial dan error.. Makanya saya bagi aja deh disini.. Sebenern
Tq hu , 
Membalas : Klo ini naturally 🤣
bukan pada trading aja, beberapa dari kita juga ingin ARA hubungannya   
Membalas : Photo
Ini berarti buat swing long ya pak
Membalas : Wah terimakasih insightnya Pak... Jadi garis ungu itu batas CL kalau entry skrg di 1005 ya?
Grs ungu sinyal buy dr candle
Membalas : ini penganut selama bendera kuning belum berkibar nih 🤦
Just kidding Pak @luckv02 ... Tapi boleh lah trial and error 🤪
lanjutkan saja    ",2:36:13 PM,Saturday March 27 2021
52,53,Bu NanaheryBillyVesilia Vebiola VesiFajar OktavariaRui :rocket:🛩:speedboat::dancer:🏽Hendro MasoriVesilia Vebiola VesiBillyEko BawonoRui :rocket:🛩:speedboat::dancer:🏽Vesilia Vebiola VesiBillyRui :rocket:🛩:speedboat::dancer:🏽Vesilia Vebiola VesiDessy FangBilly,"Membalas : Saya SAME tahun lalu sempat beli waktu break MA200D/MA50W tp masi pethakilan, belum tahu teknik2 entry yg bagus dan kapan kudu d
Saya aja itu baru menyempurnakan nya skrg2 kok ga sempet dlu masih trial dan error.. Makanya saya bagi aja deh disini.. Sebenernya itu secret cheat Saya.. Tp karena kaya pak lurah kemarin blg berbagi nanti juga akan kembali kekita.. Yaudah apasalahnya hehe. Dan lagian bisa cocok or ga sama trading style tiap org..
Membalas : Saya aja itu baru menyempurnakan nya skrg2 kok ga sempet dlu masih trial dan error.. Makanya saya bagi aja deh disini.. Sebenern
Thanks hu Billy
Membalas : Saya aja itu baru menyempurnakan nya skrg2 kok ga sempet dlu masih trial dan error.. Makanya saya bagi aja deh disini.. Sebenern
Billy cocok ko...  
Membalas : SC tuh cuma tahap premature.. Kesana nya ya balik lg analisa mendalam.. Saya lebih suka ngecek chart satu2 dari setiap hasil SC
Toss neng   🏽 🏽

Saya jg prefer check saham satu2 trs yg menarique masuk k WL

Tapi terimakasih banyak sudah mau dishare 'rahasia' nya, amat sangat membuka pikiran  🏽 🏽
Membalas : Billy cocok ko...  
Iya jadi saya kasih yg sempurna buat km🤪🤪🤪
Membalas : Iya jadi saya kasih yg sempurna buat km🤪🤪🤪
Billy speechless deh...  
Membalas : Iya jadi saya kasih yg sempurna buat km🤪🤪🤪
Smooth.... 🤭 🏽♀ 🏽♀ 🏽♀

Lho ko ditambahin 🤪🤪🤪🤣
#SMRA
Ini adalah foto
Membalas : Smooth.... 🤭 🏽♀ 🏽♀ 🏽♀ Lho ko ditambahin 🤪🤪🤪🤣
Ya ada yg kena umpan. Saya tarik... Tarik sis.. 🤣🤣🤣
Membalas : Ya ada yg kena umpan. Saya tarik... Tarik sis.. 🤣🤣🤣
🤣🤣🤣
Kangen...
Ini adalah foto
Membalas : Photo
Wah terimakasih insightnya Pak... Jadi garis ungu itu batas CL kalau entry skrg di 1005 ya?
Membalas : Ya ada yg kena umpan. Saya tarik... Tarik sis.. 🤣🤣🤣
Nah kalo ini rahasianya apa koh billy  
Billy ko...Yg weekend masih aktif digrup bisa dipastikan Jones  
Membalas : Photo
Inget jatah gula pak lurah  
Membalas : Billy ko...Yg weekend masih aktif digrup bisa dipastikan Jones  
hubill dah taken loh  
Trimakasi pak Guru",2:28:31 PM,Saturday March 27 2021
53,54,Chak Roy,"Membalas : Saya SAME tahun lalu sempat beli waktu break MA200D/MA50W tp masi pethakilan, belum tahu teknik2 entry yg bagus dan kapan kudu d
Beli hotel",2:28:23 PM,Saturday March 27 2021
54,55,Bapakne NailaBillyRui :rocket:🛩:speedboat::dancer:🏽,"Saya SAME tahun lalu sempat beli waktu break MA200D/MA50W tp masi pethakilan, belum tahu teknik2 entry yg bagus dan kapan kudu di hold jadinya ya dijual lg begitu cuan....

Andaikan saya hold   
Membalas : Ke hqsahamidx ketik /scr mv1 hehe kelar  
SC tuh cuma tahap premature.. Kesana nya ya balik lg analisa mendalam.. Saya lebih suka ngecek chart satu2 dari setiap hasil SC nya
Membalas : SC tuh cuma tahap premature.. Kesana nya ya balik lg analisa mendalam.. Saya lebih suka ngecek chart satu2 dari setiap hasil SC
Ya betul om, setuju lah. Screning awal aja",2:26:03 PM,Saturday March 27 2021
55,56,Bapakne NailaBilly,"Membalas : Jadi saat break volume tinggi baru masuk buat optimal entry ya? Kalau mau spekulasi cicil2 waktu sudah mulai mendekati MA50W nya
Iya ini waktu posisi nya market baru mau turn bull kang.. Skrg kan beda lg.. Skrg cari pivot entry ketika Saham2 yg lg otw uptrend.. Bisa flat base.. Bisa cnh atau rounding
Membalas : Ga ada.. Saya kalau screening simple kok.. Price above or = MA10, MA10 ABOVE MA50, M50 above MA200.. Dah dlu.. Ini khusus untuk
Ke hqsahamidx ketik /scr mv1 hehe kelar  ",2:24:46 PM,Saturday March 27 2021
56,57,Chai Lie,"Membalas : Ada 2 kondisi ketika udh bull dan menjelang bull.. Dan yg menawarkan profit terbesar yg ketika Bull baru mulai.. Which is ketika
:memo::memo::memo:",2:24:16 PM,Saturday March 27 2021
57,58,Rui :rocket:🛩:speedboat::dancer:🏽Billy,"Silahkan diliat di bris antm agro bbkp
Membalas : Photo
Jadi saat break volume tinggi baru masuk buat optimal entry ya? Kalau mau spekulasi cicil2 waktu sudah mulai mendekati MA50W nya?

:book:✍🏽✍🏽",2:23:42 PM,Saturday March 27 2021
58,59,f4 minvtesFajar OktavariaBillyBapakne Naila,"Membalas : Contoh kasarnya itu kaya mau break CnH terus pas handlenya sdh mau terbentuk dan bikin higher low, udh nyicil masuk ya kak? Iji
Bener ci, haham uptrend salah satu cirinya kebentuk HL
This is what I mean.. Price above MA10 weekly 3 minggu lalu MA10 bergerak menuju MA50 weekly.. Lalu ketika break volume tinggi after that ya naik kenceng..
Ini adalah foto
Membalas : Photo
:memo::memo: 

Kalau yang penting cuan juga keinginan kita semua kak rui   @RuiAuxilia
Membalas : Photo
Noted",2:21:07 PM,Saturday March 27 2021
59,60,Rui :rocket:🛩:speedboat::dancer:🏽,"Membalas : Ada 2 kondisi ketika udh bull dan menjelang bull.. Dan yg menawarkan profit terbesar yg ketika Bull baru mulai.. Which is ketika
:book::book:✍🏽✍🏽✍🏽

Fajar Oktavaria  mau oppa, mau unnie, mau mbak, mau mas, mau ci, mau koh, mau akang, mau neng silakan, yang penting cuan  🏽 #eh",2:20:44 PM,Saturday March 27 2021
60,61,Billy,"Membalas : Ga ada.. Saya kalau screening simple kok.. Price above or = MA10, MA10 ABOVE MA50, M50 above MA200.. Dah dlu.. Ini khusus untuk
Ada 2 kondisi ketika udh bull dan menjelang bull.. Dan yg menawarkan profit terbesar yg ketika Bull baru mulai.. Which is ketika MA10 weekly mulai bergerak narrowing ke MA50 weekly dgn kondisi price diatas MA10 weekly for at least 1 minggu..silahkan di backtest sendiri.. Bris agro wiim bbkp contoh gampang nya pas awal updtrend gmn tuh weekly chart nya",2:18:21 PM,Saturday March 27 2021
61,62,Fajar OktavariaVesilia Vebiola VesiJimmyMuhammad Chaidar AliBu NanaBillyRui :rocket:🛩:speedboat::dancer:🏽Vesilia Vebiola VesiFajar OktavariaJimmyRui :rocket:🛩:speedboat::dancer:🏽Bapakne NailaFajar OktavariaTommy DanielqodriRui :rocket:🛩:speedboat::dancer:🏽Bapakne NailaBillyqodriBillyqodriRui :rocket:🛩:speedboat::dancer:🏽,"Membalas : joss om rui, aku ngeri ahh kl cm 1 saham porto all in..
Perasaan yang lain sudah manggil pakai ci atau bu, yang ini anti mainstream manggilnya om, udah ngga pak atau mas lagi    

Koh Billy  ijin masukkan k notes saya buat referensi alias jiplak yak  🏽 ✍🏽✍🏽✍🏽 
saya jg kl trading selalu mencari saham uptrend kencang soalnya enak ngikut dibawa arus, tp masi mencari rule mana yg tepat buat indikasi strong uptrend itu

*elus2 SAME dalam kotak gembok*  🏽
Membalas : Fundanya jelak om, minervini mau ga om?
hahaha kan chartnya om, ngasi contoh VCP nya, kl mau apa ngga g tau saya om hehe
Membalas : Scanner nya pake aplikasi apa Hu?
Yg simple aja di tradingview ada hehe
Membalas : Perasaan yang lain sudah manggil pakai ci atau bu, yang ini anti mainstream manggilnya om, udah ngga pak atau mas lagi K
wakakakak maap buu ingatnya saya rui costa pemain bolaaa buu🤣🤣
Membalas : Perasaan yang lain sudah manggil pakai ci atau bu, yang ini anti mainstream manggilnya om, udah ngga pak atau mas lagi K
Siap akang rui
Membalas : hahaha kan chartnya om, ngasi contoh VCP nya, kl mau apa ngga g tau saya om hehe
Siap om, ke ascending triangle. Belinya pas di low cheat, cheat
Membalas : Pro : kalo melanjutkan trennya cuannya besar, bisa fokus pada pergerakan 1 emiten aja biar ga jeblos Cons : ya harus sabar ga b
Nah ini sangat setuju ... Bener2 harus pasang kacamata kuda ga bole tengok2 tetangga   

@Chaidaralii  itu Koh Billy sudah share cara dia screening saham, silakan dipelajari
Membalas : Siap om, ke ascending triangle. Belinya pas di low cheat, cheat
mantabbb ga pake acara nunggu break pattern ya om
Membalas : Yg simple aja di tradingview ada hehe
Ada di public library gak?  
Membalas : Nah ini sangat setuju ... Bener2 harus pasang kacamata kuda ga bole tengok2 tetangga @Chaidaralii itu Koh Billy sudah sha
Dan ga nengok2 ke tetangga itu sulit, ujiannya besar sekali 🤣🤣
Membalas : mantabbb ga pake acara nunggu break pattern ya om
Ga om, konsep low cheat itu entry ketika terbentuk higher low di dalam pattern yg belum terkonfirmasi. Minervini entry di 3 bagian, low cheat, cheat, pas break
Membalas : Siap akang rui
Terimakasih mbayu Billy    
Membalas : Nah kalau kita belajar dari pengalaman Pakdhe dan senior2 Traders di sini, start small jadi walaupun rasain loss, masih ga bikin
Bener Pak. Tapi dari pengalaman saya sendiri, walaupun ilmu uda banyak, trading 1jt ama 1M, mentalnya beda banget  
Kalo capital udah besar risk profile pasti berubah, -1% di 1jt dan -1% di 1m itu beda rasanya  
Membalas : Terimakasih mbayu Billy    
@RuiAuxilia....   ko Billy dipanggil mbayu...  
Membalas : Ga om, konsep low cheat itu entry ketika terbentuk higher low di dalam pattern yg belum terkonfirmasi. Minervini entry di 3 bagi
Contoh kasarnya itu kaya mau break CnH terus pas handlenya sdh mau terbentuk dan bikin higher low, udh nyicil masuk ya kak?

Ijin catet dulu ✍🏽✍🏽:book::book:

Vesilia Vebiola lha saya dipanggil akang   
Membalas : Ada di public library gak?  
Ga ada.. Saya kalau screening simple kok.. Price above or = MA10, MA10 ABOVE MA50, M50 above MA200..
Dah dlu.. Ini khusus untuk kondisi skrg yg mayoritas saham udh updtrend..nah pas april beda lg hehe
Membalas : Mohon izin saya share nanti, kebetulan mau brangkat ke Bogor. Hutang saya ke bu Nana wis
Smoga lancar perjalanannya, saya sabar menunggu
Membalas : Ga ada.. Saya kalau screening simple kok.. Price above or = MA10, MA10 ABOVE MA50, M50 above MA200.. Dah dlu.. Ini khusus untuk
   
Saya ngalamin trading online dari jaman Sarijaya sih. Saat masuk dengan capital kecil cenderung lebih santai vs capital gede. Belum lagi dengan capital gede, ga bisa masuk di semua emiten  
Membalas : Contoh kasarnya itu kaya mau break CnH terus pas handlenya sdh mau terbentuk dan bikin higher low, udh nyicil masuk ya kak? Iji
@RuiAuxilia ... Jitak aja ko Billy nya... 🤣
Membalas : Contoh kasarnya itu kaya mau break CnH terus pas handlenya sdh mau terbentuk dan bikin higher low, udh nyicil masuk ya kak? Iji
Kalo oppa diterima ga kak rui ? Kan ""oppa"" yang sekarang itu cantik   ",2:06:14 PM,Saturday March 27 2021
62,63,Bapakne NailaAlzur Zanniqodri,"Membalas : Photo
wkwkwkwkwkkwk hasil cuan MPPA d balikin lg k perusahaannya ya pakde
Membalas : Photo
🤣🤣🤣 pada ngangka kode alam
Membalas : nih chart minervini, namanya volatility contraction pattern, yok gaes mau entry dmn exit dmn
Fundanya jelak om, minervini mau ga om?",2:04:15 PM,Saturday March 27 2021
63,64,S,"Membalas : Photo
Kirain itu INCO 15rebu, ternyata INaCO",2:03:50 PM,Saturday March 27 2021
